index,Series_Title,Released_Year,Certificate,Runtime_in_Minutes,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross
100,Bacheha-Ye aseman,1997,PG,89,"Drama, Family, Sport",8.3,77.0,65341.0,933933
101,Toy Story,1995,U,81,"Animation, Adventure, Comedy",8.3,95.0,887429.0,191796233
102,Braveheart,1995,A,178,"Biography, Drama, History",8.3,68.0,959181.0,75600000
103,Reservoir Dogs,1992,R,99,"Crime, Drama, Thriller",8.3,79.0,918562.0,2832029
104,Full Metal Jacket,1987,UA,116,"Drama, War",8.3,76.0,675146.0,46357676
105,Idi i smotri,1985,A,142,"Drama, Thriller, War",8.3,-1.0,59056.0,-1
106,Aliens,1986,U,137,"Action, Adventure, Sci-Fi",8.3,84.0,652719.0,85160248
107,Amadeus,1984,R,160,"Biography, Drama, History",8.3,88.0,369007.0,51973029
108,Scarface,1983,A,170,"Crime, Drama",8.3,65.0,740911.0,45598982
109,Star Wars: Episode VI - Return of the Jedi,1983,U,131,"Action, Adventure, Fantasy",8.3,58.0,950470.0,309125409
110,Das Boot,1981,R,149,"Adventure, Drama, Thriller",8.3,-1.0,-1.0,-1
111,Taxi Driver,1976,A,114,"Crime, Drama",8.3,94.0,724636.0,28262574
112,The Sting,1973,U,129,"Comedy, Crime, Drama",8.3,83.0,241513.0,159600000
113,A Clockwork Orange,1971,A,136,"Crime, Drama, Sci-Fi",8.3,77.0,757904.0,6207725
114,2001: A Space Odyssey,1968,U,149,"Adventure, Sci-Fi",8.3,84.0,603517.0,56954992
115,Per qualche dollaro in più,1965,U,132,Western,8.3,74.0,232772.0,15000000
116,Lawrence of Arabia,1962,U,228,"Adventure, Biography, Drama",8.3,100.0,268085.0,44824144
117,The Apartment,1960,U,125,"Comedy, Drama, Romance",8.3,94.0,164363.0,18600000
118,North by Northwest,1959,U,136,"Adventure, Mystery, Thriller",8.3,98.0,299198.0,13275000
119,Vertigo,1958,A,128,"Mystery, Romance, Thriller",8.3,100.0,364368.0,3200000
120,Singin' in the Rain,1952,G,103,"Comedy, Musical, Romance",8.3,99.0,218957.0,8819028
121,Ikiru,1952,-1,143,Drama,8.3,-1.0,68463.0,5524
122,Ladri di biciclette,1948,-1,89,Drama,8.3,-1.0,146427.0,33293
123,Double Indemnity,1944,Passed,107,"Crime, Drama, Film-Noir",8.3,95.0,143525.0,5720000
124,Citizen Kane,1941,UA,119,"Drama, Mystery",8.3,-1.0,-1.0,-1
125,M - Eine Stadt sucht einen Mörder,1931,Passed,117,"Crime, Mystery, Thriller",8.3,-1.0,143434.0,28877
126,Metropolis,1927,-1,153,"Drama, Sci-Fi",8.3,98.0,159992.0,1236166
127,The Kid,1921,Passed,68,"Comedy, Drama, Family",8.3,-1.0,113314.0,5450000
128,Chhichhore,2019,UA,143,"Comedy, Drama",8.2,-1.0,33893.0,898575
129,Uri: The Surgical Strike,2018,UA,138,"Action, Drama, War",8.2,-1.0,43444.0,4186168
130,K.G.F: Chapter 1,2018,UA,156,"Action, Drama",8.2,-1.0,36680.0,-1
131,Green Book,2018,UA,130,"Biography, Comedy, Drama",8.2,69.0,377884.0,85080171
132,"Three Billboards Outside Ebbing, Missouri",2017,A,115,"Comedy, Crime, Drama",8.2,88.0,432610.0,54513740
133,Talvar,2015,UA,132,"Crime, Drama, Mystery",8.2,-1.0,31142.0,34237
134,Baahubali 2: The Conclusion,2017,UA,167,"Action, Drama",8.2,-1.0,75348.0,20186659
135,Klaus,2019,PG,96,"Animation, Adventure, Comedy",8.2,65.0,104761.0,-1
136,Drishyam,2015,UA,163,"Crime, Drama, Mystery",8.2,-1.0,70367.0,739478
137,Queen,2013,UA,146,"Adventure, Comedy, Drama",8.2,-1.0,60701.0,1429534
138,Mandariinid,2013,-1,87,"Drama, War",8.2,73.0,40382.0,144501
139,Bhaag Milkha Bhaag,2013,U,186,"Biography, Drama, Sport",8.2,-1.0,61137.0,1626289
140,Gangs of Wasseypur,2012,A,321,"Action, Comedy, Crime",8.2,89.0,82365.0,-1
141,Udaan,2010,UA,134,Drama,8.2,-1.0,42341.0,7461
142,Paan Singh Tomar,2012,UA,135,"Action, Biography, Crime",8.2,-1.0,33237.0,39567
143,El secreto de sus ojos,2009,R,129,"Drama, Mystery, Romance",8.2,80.0,193217.0,6391436
144,Warrior,2011,UA,140,"Action, Drama, Sport",8.2,71.0,435950.0,13657115
145,Shutter Island,2010,A,138,"Mystery, Thriller",8.2,63.0,1129894.0,128012934
146,Up,2009,U,96,"Animation, Adventure, Comedy",8.2,88.0,935507.0,293004164
147,The Wolf of Wall Street,2013,A,180,"Biography, Crime, Drama",8.2,75.0,1187498.0,116900694
148,Chak De! India,2007,U,153,"Drama, Family, Sport",8.2,68.0,74129.0,1113541
149,There Will Be Blood,2007,A,158,Drama,8.2,93.0,517359.0,40222514
150,Pan's Labyrinth,2006,UA,118,"Drama, Fantasy, War",8.2,98.0,618623.0,37634615
151,Toy Story 3,2010,U,103,"Animation, Adventure, Comedy",8.2,92.0,757032.0,415004880
152,V for Vendetta,2005,A,132,"Action, Drama, Sci-Fi",8.2,62.0,1032749.0,70511035
153,Rang De Basanti,2006,UA,167,"Comedy, Crime, Drama",8.2,-1.0,111937.0,2197331
154,Black,2005,U,122,Drama,8.2,-1.0,33354.0,733094
155,Batman Begins,2005,UA,140,"Action, Adventure",8.2,70.0,1308302.0,206852432
156,"Swades: We, the People",2004,U,210,Drama,8.2,-1.0,83005.0,1223240
157,Der Untergang,2004,R,156,"Biography, Drama, History",8.2,82.0,331308.0,5509040
158,Hauru no ugoku shiro,2004,U,119,"Animation, Adventure, Family",8.2,80.0,333915.0,4711096
159,A Beautiful Mind,2001,UA,135,"Biography, Drama",8.2,72.0,848920.0,170742341
160,Hera Pheri,2000,U,156,"Action, Comedy, Crime",8.2,-1.0,57057.0,-1
161,"Lock, Stock and Two Smoking Barrels",1998,A,107,"Action, Comedy, Crime",8.2,66.0,535216.0,3897569
162,L.A. Confidential,1997,A,138,"Crime, Drama, Mystery",8.2,90.0,531967.0,64616940
163,Eskiya,1996,-1,128,"Crime, Drama, Thriller",8.2,-1.0,64118.0,-1
164,Heat,1995,A,170,"Crime, Drama, Thriller",8.2,76.0,577113.0,67436818
165,Casino,1995,A,178,"Crime, Drama",8.2,73.0,466276.0,42438300
166,Andaz Apna Apna,1994,U,160,"Action, Comedy, Romance",8.2,-1.0,49300.0,-1
167,Unforgiven,1992,A,130,"Drama, Western",8.2,85.0,375935.0,101157447
168,Indiana Jones and the Last Crusade,1989,U,127,"Action, Adventure",8.2,65.0,692366.0,197171806
169,Dom za vesanje,1988,R,142,"Comedy, Crime, Drama",8.2,-1.0,26402.0,280015
170,Tonari no Totoro,1988,U,86,"Animation, Family, Fantasy",8.2,86.0,291180.0,1105564
171,Die Hard,1988,A,132,"Action, Thriller",8.2,72.0,793164.0,83008852
172,Ran,1985,U,162,"Action, Drama, War",8.2,96.0,112505.0,4135750
173,Raging Bull,1980,A,129,"Biography, Drama, Sport",8.2,89.0,321860.0,23383987
174,Stalker,1979,U,162,"Drama, Sci-Fi",8.2,-1.0,116945.0,234723
175,Höstsonaten,1978,U,99,"Drama, Music",8.2,-1.0,26875.0,-1
176,The Message,1976,PG,177,"Biography, Drama, History",8.2,-1.0,43885.0,-1
177,Sholay,1975,U,204,"Action, Adventure, Comedy",8.2,-1.0,51284.0,-1
178,Monty Python and the Holy Grail,1975,PG,91,"Adventure, Comedy, Fantasy",8.2,91.0,500875.0,1229197
179,The Great Escape,1963,U,172,"Adventure, Drama, History",8.2,86.0,224730.0,12100000
180,To Kill a Mockingbird,1962,U,129,"Crime, Drama",8.2,88.0,293811.0,-1
181,Yôjinbô,1961,-1,110,"Action, Drama, Thriller",8.2,-1.0,111244.0,-1
182,Judgment at Nuremberg,1961,A,179,"Drama, War",8.2,60.0,69458.0,-1
183,Some Like It Hot,1959,U,121,"Comedy, Music, Romance",8.2,98.0,243943.0,25000000
184,Smultronstället,1957,U,91,"Drama, Romance",8.2,88.0,96381.0,-1
185,Det sjunde inseglet,1957,A,96,"Drama, Fantasy, History",8.2,88.0,164939.0,-1
186,Du rififi chez les hommes,1955,-1,118,"Crime, Drama, Thriller",8.2,97.0,28810.0,57226
187,Dial M for Murder,1954,A,105,"Crime, Thriller",8.2,75.0,158335.0,12562
188,Tôkyô monogatari,1953,U,136,Drama,8.2,-1.0,53153.0,-1
189,Rashômon,1950,-1,88,"Crime, Drama, Mystery",8.2,98.0,152572.0,96568
190,All About Eve,1950,Passed,138,Drama,8.2,98.0,120539.0,10177
191,The Treasure of the Sierra Madre,1948,Passed,126,"Adventure, Drama, Western",8.2,98.0,114304.0,5014000
192,To Be or Not to Be,1942,Passed,99,"Comedy, War",8.2,86.0,29915.0,-1
193,The Gold Rush,1925,Passed,95,"Adventure, Comedy, Drama",8.2,-1.0,101053.0,5450000
194,Sherlock Jr.,1924,Passed,45,"Action, Comedy, Romance",8.2,-1.0,41985.0,977375
195,Portrait de la jeune fille en feu,2019,R,122,"Drama, Romance",8.1,95.0,63134.0,3759854
196,Pink,2016,UA,136,"Drama, Thriller",8.1,-1.0,39216.0,1241223
197,Koe no katachi,2016,16,130,"Animation, Drama, Family",8.1,78.0,47708.0,-1
198,Contratiempo,2016,TV-MA,106,"Crime, Drama, Mystery",8.1,-1.0,141516.0,-1
199,Ah-ga-ssi,2016,A,145,"Drama, Romance, Thriller",8.1,84.0,113649.0,2006788
200,Mommy,2014,R,139,Drama,8.1,74.0,50700.0,3492754
201,Haider,2014,UA,160,"Action, Crime, Drama",8.1,-1.0,50445.0,90161
202,Logan,2017,A,137,"Action, Drama, Sci-Fi",8.1,77.0,647884.0,226277068
203,Room,2015,R,118,"Drama, Thriller",8.1,86.0,371538.0,14677674
204,Relatos salvajes,2014,R,122,"Comedy, Drama, Thriller",8.1,77.0,177059.0,3107072
205,Soul,2020,U,100,"Animation, Adventure, Comedy",8.1,83.0,159171.0,-1
206,Kis Uykusu,2014,-1,196,Drama,8.1,88.0,46547.0,16552
207,PK,2014,UA,153,"Comedy, Drama, Musical",8.1,-1.0,163061.0,10616104
208,OMG: Oh My God!,2012,U,125,"Comedy, Drama, Fantasy",8.1,-1.0,51739.0,923221
209,The Grand Budapest Hotel,2014,UA,99,"Adventure, Comedy, Crime",8.1,88.0,707630.0,59100318
210,Gone Girl,2014,A,149,"Drama, Mystery, Thriller",8.1,79.0,859695.0,167767189
211,Ôkami kodomo no Ame to Yuki,2012,U,117,"Animation, Drama, Fantasy",8.1,71.0,38803.0,-1
212,Hacksaw Ridge,2016,A,139,"Biography, Drama, History",8.1,71.0,435928.0,67209615
213,Inside Out,2015,U,95,"Animation, Adventure, Comedy",8.1,94.0,616228.0,356461711
214,Barfi!,2012,U,151,"Comedy, Drama, Romance",8.1,-1.0,75721.0,2804874
215,12 Years a Slave,2013,A,134,"Biography, Drama, History",8.1,96.0,640533.0,56671993
216,Rush,2013,UA,123,"Action, Biography, Drama",8.1,74.0,432811.0,26947624
217,Ford v Ferrari,2019,UA,152,"Action, Biography, Drama",8.1,81.0,291289.0,117624028
218,Spotlight,2015,A,129,"Biography, Crime, Drama",8.1,93.0,420316.0,45055776
219,Song of the Sea,2014,PG,93,"Animation, Adventure, Drama",8.1,85.0,51679.0,857524
220,Kahaani,2012,UA,122,"Mystery, Thriller",8.1,-1.0,57806.0,1035953
221,Zindagi Na Milegi Dobara,2011,U,155,"Comedy, Drama",8.1,-1.0,67927.0,3108485
222,Prisoners,2013,A,153,"Crime, Drama, Mystery",8.1,70.0,601149.0,61002302
223,Mad Max: Fury Road,2015,UA,120,"Action, Adventure, Sci-Fi",8.1,90.0,882316.0,154058340
224,A Wednesday,2008,UA,104,"Action, Crime, Drama",8.1,-1.0,73891.0,-1
225,Gran Torino,2008,R,116,Drama,8.1,72.0,720450.0,148095302
226,Harry Potter and the Deathly Hallows: Part 2,2011,UA,130,"Adventure, Drama, Fantasy",8.1,85.0,764493.0,381011219
227,Okuribito,2008,PG-13,130,"Drama, Music",8.1,68.0,48582.0,1498210
228,Hachi: A Dog's Tale,2009,G,93,"Biography, Drama, Family",8.1,-1.0,253575.0,-1
229,Mary and Max,2009,-1,92,"Animation, Comedy, Drama",8.1,-1.0,164462.0,-1
230,How to Train Your Dragon,2010,U,98,"Animation, Action, Adventure",8.1,75.0,666773.0,217581231
231,Into the Wild,2007,R,148,"Adventure, Biography, Drama",8.1,73.0,572921.0,18354356
232,No Country for Old Men,2007,R,122,"Crime, Drama, Thriller",8.1,91.0,856916.0,74283625
233,Lage Raho Munna Bhai,2006,U,144,"Comedy, Drama, Romance",8.1,-1.0,43137.0,2217561
234,Million Dollar Baby,2004,UA,132,"Drama, Sport",8.1,86.0,635975.0,100492203
235,Hotel Rwanda,2004,PG-13,121,"Biography, Drama, History",8.1,79.0,334320.0,23530892
236,Taegukgi hwinalrimyeo,2004,R,140,"Action, Drama, War",8.1,64.0,37820.0,1111061
237,Before Sunset,2004,R,80,"Drama, Romance",8.1,90.0,236311.0,5820649
238,Munna Bhai M.B.B.S.,2003,U,156,"Comedy, Drama, Musical",8.1,-1.0,73992.0,-1
239,Salinui chueok,2003,UA,131,"Crime, Drama, Mystery",8.1,82.0,139558.0,14131
240,Dil Chahta Hai,2001,Unrated,183,"Comedy, Drama, Romance",8.1,-1.0,66803.0,300
241,Kill Bill: Vol. 1,2003,R,111,"Action, Crime, Drama",8.1,69.0,1000639.0,70099045
242,Finding Nemo,2003,U,100,"Animation, Adventure, Comedy",8.1,90.0,949565.0,380843261
243,Catch Me If You Can,2002,A,141,"Biography, Crime, Drama",8.1,75.0,832846.0,164615351
244,Amores perros,2000,A,154,"Drama, Thriller",8.1,83.0,223741.0,5383834
245,"Monsters, Inc.",2001,U,92,"Animation, Adventure, Comedy",8.1,79.0,815505.0,289916256
246,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,UA,87,"Animation, Action, Drama",8.1,-1.0,38847.0,-1
247,Lagaan: Once Upon a Time in India,2001,U,224,"Adventure, Drama, Musical",8.1,84.0,105036.0,70147
248,The Sixth Sense,1999,A,107,"Drama, Mystery, Thriller",8.1,64.0,911573.0,293506292
249,La leggenda del pianista sull'oceano,1998,U,169,"Drama, Music, Romance",8.1,58.0,59020.0,259127
250,The Truman Show,1998,U,103,"Comedy, Drama",8.1,90.0,939631.0,125618201
251,"Crna macka, beli macor",1998,R,127,"Comedy, Crime, Romance",8.1,73.0,50862.0,34866
252,The Big Lebowski,1998,R,117,"Comedy, Crime, Sport",8.1,71.0,732620.0,17498804
253,Fa yeung nin wah,2000,U,98,"Drama, Romance",8.1,85.0,124383.0,2734044
254,Trainspotting,1996,A,93,Drama,8.1,83.0,634716.0,16501785
255,Fargo,1996,A,98,"Crime, Drama, Thriller",8.1,85.0,617444.0,24611975
256,Underground,1995,-1,170,"Comedy, Drama, War",8.1,-1.0,55220.0,171082
257,La haine,1995,UA,98,"Crime, Drama",8.1,-1.0,150345.0,309811
258,Dilwale Dulhania Le Jayenge,1995,U,189,"Drama, Romance",8.1,-1.0,63516.0,-1
259,Before Sunrise,1995,R,101,"Drama, Romance",8.1,77.0,272291.0,5535405
260,Trois couleurs: Rouge,1994,U,99,"Drama, Mystery, Romance",8.1,100.0,90729.0,4043686
261,Chung Hing sam lam,1994,U,102,"Comedy, Crime, Drama",8.1,77.0,63122.0,6002
262,Jurassic Park,1993,UA,127,"Action, Adventure, Sci-Fi",8.1,68.0,867615.0,402453882
263,In the Name of the Father,1993,UA,133,"Biography, Crime, Drama",8.1,84.0,156842.0,25010410
264,Ba wang bie ji,1993,R,171,"Drama, Music, Romance",8.1,-1.0,25088.0,5216888
265,Dà hóng denglong gaogao guà,1991,PG,125,"Drama, History, Romance",8.1,-1.0,29662.0,2603061
266,Dead Poets Society,1989,U,128,"Comedy, Drama",8.1,79.0,425457.0,95860116
267,Stand by Me,1986,U,89,"Adventure, Drama",8.1,75.0,363401.0,52287414
268,Platoon,1986,A,120,"Drama, War",8.1,92.0,381222.0,138530565
269,"Paris, Texas",1984,U,145,Drama,8.1,78.0,91188.0,2181987
270,Kaze no tani no Naushika,1984,U,117,"Animation, Adventure, Fantasy",8.1,86.0,150924.0,49577
271,The Thing,1982,A,109,"Horror, Mystery, Sci-Fi",8.1,57.0,371271.0,13782838
272,Pink Floyd: The Wall,1982,UA,95,"Drama, Fantasy, Music",8.1,47.0,76081.0,22244207
273,Fitzcarraldo,1982,R,158,"Adventure, Drama",8.1,-1.0,31595.0,-1
274,Fanny och Alexander,1982,A,188,Drama,8.1,100.0,57784.0,4971340
275,Blade Runner,1982,UA,117,"Action, Sci-Fi, Thriller",8.1,84.0,693827.0,32868943
276,The Elephant Man,1980,UA,124,"Biography, Drama",8.1,78.0,220078.0,-1
277,Life of Brian,1979,R,94,Comedy,8.1,77.0,367250.0,20045115
278,The Deer Hunter,1978,A,183,"Drama, War",8.1,86.0,311361.0,48979328
279,Rocky,1976,U,120,"Drama, Sport",8.1,70.0,518546.0,117235247
