movie_id,actor_id
2110,110
2124,110
2365,110
2404,110
2656,110
2668,110
3110,110
3124,110
3365,110
3404,110
3656,110
3668,110
15,111
71,111
111,111
165,111
173,111
278,111
484,111
664,111
671,111
687,111
960,111
1003,111
1033,111
1164,111
2527,111
2529,111
2752,111
112,112
288,112
424,112
434,112
838,112
1439,112
113,113
114,114
12,115
115,115
167,115
225,115
431,115
691,115
853,115
965,115
985,115
991,115
1234,115
1854,115
116,116
545,116
2831,116
117,117
855,117
1823,117
2183,117
2400,117
118,118
455,118
547,118
559,118
562,118
563,118
1715,118
32,119
81,119
119,119
295,119
313,119
437,119
450,119
557,119
1311,119
2562,119
120,120
1120,120
2298,120
121,121
1031,121
3189,121
3303,121
122,122
123,123
2117,123
110,124
124,124
365,124
404,124
656,124
668,124
1110,124
1124,124
1365,124
1404,124
1656,124
1668,124
2110,124
2124,124
2365,124
2404,124
2656,124
2668,124
3110,124
3124,124
3365,124
3404,124
3656,124
3668,124
125,125
3456,125
126,126
51,127
52,127
83,127
127,127
193,127
318,127
128,128
464,128
579,128
1735,128
129,129
1570,129
130,130
131,131
471,131
1005,131
1918,131
2013,131
132,132
2255,132
2676,132
2980,132
3514,132
133,133
142,133
590,133
1498,133
134,134
331,134
135,135
136,136
137,137
138,138
139,139
1221,139
140,140
2335,140
141,141
133,142
142,142
590,142
1498,142
143,143
512,143
144,144
223,144
1063,144
1343,144
3573,144
8,145
37,145
145,145
147,145
243,145
343,145
361,145
652,145
879,145
1658,145
2062,145
146,146
8,147
37,147
145,147
147,147
243,147
343,147
361,147
652,147
879,147
1658,147
2062,147
148,148
156,148
258,148
352,148
629,148
1374,148
149,149
263,149
525,149
821,149
150,150
11,151
24,151
25,151
101,151
151,151
596,151
604,151
647,151
791,151
818,151
890,151
966,151
1243,151
2516,151
152,152
57,153
64,153
153,153
166,153
207,153
240,153
247,153
2065,153
154,154
1076,154
1196,154
2177,154
2,155
36,155
63,155
155,155
600,155
778,155
832,155
953,155
1217,155
1614,155
1774,155
148,156
156,156
258,156
352,156
629,156
1374,156
157,157
407,157
158,158
39,159
159,159
373,159
649,159
774,159
1162,159
1622,159
160,160
324,160
326,160
335,160
1208,160
161,161
41,162
98,162
162,162
1486,162
2027,162
163,163
3,164
108,164
164,164
398,164
416,164
523,164
809,164
823,164
849,164
974,164
1001,164
1484,164
1649,164
15,165
71,165
111,165
165,165
173,165
278,165
484,165
664,165
671,165
687,165
960,165
1003,165
1033,165
1164,165
2527,165
2529,165
2752,165
57,166
64,166
153,166
166,166
207,166
240,166
247,166
2065,166
12,167
115,167
167,167
225,167
431,167
691,167
853,167
965,167
985,167
991,167
1234,167
1854,167
72,168
168,168
275,168
340,168
663,168
1016,168
1029,168
1109,168
169,169
170,170
171,171
248,171
393,171
807,171
963,171
2598,171
3006,171
30,172
172,172
412,172
1294,172
2077,172
2181,172
15,173
71,173
111,173
165,173
173,173
278,173
484,173
664,173
671,173
687,173
960,173
1003,173
1033,173
1164,173
2527,173
2529,173
2752,173
174,174
175,175
1050,175
1559,175
176,176
443,176
2116,176
177,177
178,178
179,179
418,179
1865,179
180,180
446,180
863,180
31,181
77,181
181,181
189,181
294,181
301,181
303,181
182,182
298,182
701,182
183,183
184,184
185,185
297,185
1419,185
3951,185
186,186
187,187
561,187
188,188
31,189
77,189
181,189
189,189
294,189
301,189
303,189
190,190
293,190
50,191
191,191
448,191
456,191
560,191
710,191
711,191
870,191
873,191
192,192
51,193
52,193
83,193
127,193
193,193
318,193
194,194
320,194
1320,194
195,195
196,196
3326,196
197,197
2023,197
198,198
199,199
200,200
201,201
490,201
577,201
202,202
222,202
1036,202
2479,202
203,203
336,203
2882,203
204,204
2508,204
205,205
206,206
57,207
64,207
153,207
166,207
207,207
240,207
247,207
2065,207
