id,actor
685,Christopher Lloyd
686,Charles Bronson
687,Janet Leigh
688,Paulette Goddard
689,Virginia Cherrill
690,Yordanos Shiferaw
691,Mone Kamishiraishi
692,Sakshi Tanwar
693,Rodney Rothman
694,Anthony Gonzalez
695,Christoph Waltz
696,Darsheel Safary
697,Elissa Knight
698,Martina Gedeck
699,Yoo Ji-Tae
700,Carrie-Anne Moss
701,Yuriko Ishida
702,James Woods
703,Karen Allen
704,Shelley Duvall
705,Tom Skerritt
706,Yutaka Sada
707,Marlene Dietrich
708,Ralph Meeker
709,Grace Kelly
710,Gloria Swanson
711,George MacKay
712,Adesh Prasad
713,Tabu
714,Meena
715,Thomas Bo Larsen
716,Leila Hatami
717,Mélissa Désormeaux-Poulin
718,Nisa Sofiya Aksongur
719,Fikret Kuskan
720,Kate Winslet
721,Mathieu Kassovitz
722,Annette Bening
723,Amir Farrokh Hashemian
724,Tim Allen
725,Sophie Marceau
726,R. Lee Ermey
727,Olga Mironova
728,Michael Biehn
729,Tom Hulce
730,Michelle Pfeiffer
731,Robert Redford
732,Patrick Magee
733,Gary Lockwood
734,Lee Van Cleef
735,Shirley MacLaine
736,Eva Marie Saint
737,Kim Novak
738,Nobuo Kaneko
739,Enzo Staiola
740,Barbara Stanwyck
741,Ellen Widmann
742,Alfred Abel
743,Edna Purviance
744,Shraddha Kapoor
745,Srinidhi Shetty
746,Mahershala Ali
747,Woody Harrelson
748,Konkona Sen Sharma
749,Rana Daggubati
750,Shriya Saran
751,Rajkummar Rao
752,Elmo Nüganen
753,Sonam Kapoor
754,Richa Chadha
755,Ronit Roy
756,Mahie Gill
757,Soledad Villamil
758,Nick Nolte
759,Emily Mortimer
760,Edward Asner
761,Jonah Hill
762,Vidya Malvade
763,Paul Dano
764,Ariadna Gil
765,Soha Ali Khan
766,Rani Mukerji
767,Gayatri Joshi
768,Alexandra Maria Lara
769,Takuya Kimura
770,Ed Harris
771,Sunil Shetty
772,Dexter Fletcher
773,Ugur Yücel
774,Sharon Stone
775,Bora Todorovic
776,Noriko Hidaka
777,Alan Rickman
778,Akira Terao
779,Cathy Moriarty
780,Aleksandr Kaydanovskiy
781,Liv Ullmann
782,Irene Papas
783,Dharmendra
784,James Garner
785,John Megna
786,Eijirô Tôno
787,Tony Curtis
788,Gunnar Björnstrand
789,Carl Möhner
790,Chieko Higashiyama
791,Machiko Kyô
792,Anne Baxter
793,Walter Huston
794,Jack Benny
795,Mack Swain
796,Kathryn McGuire
797,Adèle Haenel
798,Saori Hayami
799,Ana Wagener
800,Jung-woo Ha
801,Antoine Olivier Pilon
802,María Marull
803,Melisa Sözen
804,Anushka Sharma
805,Rosamund Pike
806,Takao Osawa
807,Priyanka Chopra
808,Michael Kenneth Williams
809,Brendan Gleeson
810,Parambrata Chattopadhyay
811,Naseeruddin Shah
812,Bee Vang
813,Emma Watson
814,Ryôko Hirosue
815,Joan Allen
816,Vince Vaughn
817,Tommy Lee Jones
818,Arshad Warsi
819,Sophie Okonedo
820,Julie Delpy
821,Kim Sang-kyung
822,Saif Ali Khan
823,David Carradine
824,Albert Brooks
825,Megumi Ogata
826,Raghuvir Yadav
827,Haley Joel Osment
828,Pruitt Taylor Vince
829,Srdjan 'Zika' Todorovic
830,Maggie Cheung
831,Ewen Bremner
832,William H. Macy
833,Lazar Ristovski
834,Hubert Koundé
835,Kajol
836,Takeshi Kaneshiro
837,Laura Dern
838,Pete Postlethwaite
839,Fengyi Zhang
840,Jingwu Ma
841,Robert Sean Leonard
842,River Phoenix
843,Tom Berenger
844,Nastassja Kinski
845,Mahito Tsujimura
846,Wilford Brimley
847,Christine Hargreaves
848,Claudia Cardinale
849,Pernilla Allwin
850,Rutger Hauer
851,John Hurt
852,John Cleese
853,Christopher Walken
854,Talia Shire
855,Marisa Berenson
856,Filipp Yankovskiy
857,Tatum O'Neal
858,Donatas Banionis
859,François Périer
860,George Kennedy
861,Ivan Lapikov
862,Jean Martin
863,Jacqueline Andere
864,Joan Crawford
865,Nikolay Burlyaev
866,Birgitta Valberg
867,Fredric March
868,Albert Rémy
869,Jack Hawkins
870,Misa Uehara
871,Minoru Chiaki
872,Karl Malden
873,Charles Vanel
874,Jan Sterling
875,Virginia Mayo
876,Joseph Cotten
877,Anton Walbrook
878,Joan Fontaine
879,Jean Arthur
880,Sam Wood
881,Dita Parlo
882,Claudette Colbert
883,Eugene Silvain
884,Merna Kennedy
885,Janet Gaynor
886,Conrad Veidt
887,Neena Gupta
888,Julianne Nicholson
889,Nimrat Kaur
890,Harshaali Malhotra
891,Danny Denzongpa
892,Jessica Chastain
893,Jared Bush
894,Nakul Roshan Sahdev
895,Frantz Turner
